"","id_sample","id_plot","ab","mass","q0","q1","q2","HabitatAgricultural_area","HabitatArable_land","HabitatBuildings","HabitatCoastal","HabitatDeciduous","HabitatFew_no_vegetation","HabitatForest","HabitatForest_semi_natural_area","HabitatGardens","HabitatGrassland","HabitatParks","HabitatPasture_meadows","HabitatShrub_heatland","HabitatUrban_green_areas","HabitatArtificial_surface","HabitatPerenial","HabitatCaves","HabitatRunning_water_banks","HabitatInland","HabitatPeatbog","HabitatMineral_extraction_sites","HabitatSempervirent","HabitatCrop","HabitatOrchards","HabitatStanding_water_banks","HabitatFallow","HabitatDump","HabitatH","Body_length"
"1","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ANI-21-0840","RIS_2340",2,1.165,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
