,Date,Milieu,Bloc,diet,Hmoy
1,2023-04-17,AF,1,eat_Arthropoda,0.0489626283303702
2,2023-04-17,AF,1,eat_Tracheophyta,0.207644437375689
3,2023-04-17,AF,1,parasite_Arthropoda,0
4,2023-04-17,AF,1,parasite_Tracheophyta,0.207644437375689
5,2023-04-17,AF,1,visit_Tracheophyta,0.128834753473475
6,2023-04-17,AF,2,eat_Arthropoda,0.106580981053025
7,2023-04-17,AF,2,eat_Tracheophyta,0.251251150215732
8,2023-04-17,AF,2,parasite_Arthropoda,0
9,2023-04-17,AF,2,parasite_Tracheophyta,0.278084388357503
10,2023-04-17,AF,2,visit_Tracheophyta,0.255326772615739
11,2023-04-17,AF,3,eat_Arthropoda,0.114593887215842
12,2023-04-17,AF,3,eat_Tracheophyta,0.267412147882289
13,2023-04-17,AF,3,parasite_Arthropoda,0
14,2023-04-17,AF,3,parasite_Tracheophyta,0.278727188605988
15,2023-04-17,AF,3,visit_Tracheophyta,0.280364312132067
16,2023-04-17,F,1,eat_Arthropoda,0
17,2023-04-17,F,1,eat_Tracheophyta,0
18,2023-04-17,F,1,parasite_Arthropoda,0
19,2023-04-17,F,1,parasite_Tracheophyta,0
20,2023-04-17,F,1,visit_Tracheophyta,0
21,2023-04-17,F,2,eat_Arthropoda,0.386491817641943
22,2023-04-17,F,2,eat_Tracheophyta,0.586491452523524
23,2023-04-17,F,2,parasite_Arthropoda,0
24,2023-04-17,F,2,parasite_Tracheophyta,0.585149084953478
25,2023-04-17,F,2,visit_Tracheophyta,0.586301881907947
26,2023-04-17,F,3,eat_Arthropoda,0.195165549652743
27,2023-04-17,F,3,eat_Tracheophyta,0.440970995950356
28,2023-04-17,F,3,parasite_Arthropoda,0
29,2023-04-17,F,3,parasite_Tracheophyta,0.451572323329583
30,2023-04-17,F,3,visit_Tracheophyta,0.406300867005968
31,2023-05-02,AF,1,eat_Arthropoda,0.246602897903296
32,2023-05-02,AF,1,eat_Tracheophyta,0.0520107272161782
33,2023-05-02,AF,1,parasite_Arthropoda,0.259817267431827
34,2023-05-02,AF,1,parasite_Tracheophyta,0.0520632243824945
35,2023-05-02,AF,1,visit_Tracheophyta,0.0534721857383672
36,2023-05-02,AF,2,eat_Arthropoda,0.326637205563184
37,2023-05-02,AF,2,eat_Tracheophyta,0.026130953146046
38,2023-05-02,AF,2,parasite_Arthropoda,0.305934700688654
39,2023-05-02,AF,2,parasite_Tracheophyta,0.0266826285512904
40,2023-05-02,AF,2,visit_Tracheophyta,0.0251070279119576
41,2023-05-02,AF,3,eat_Arthropoda,0.243333073883981
42,2023-05-02,AF,3,eat_Tracheophyta,0.037561569308173
43,2023-05-02,AF,3,parasite_Arthropoda,0.414083308557611
44,2023-05-02,AF,3,parasite_Tracheophyta,0.0380759047691879
45,2023-05-02,AF,3,visit_Tracheophyta,0.0357004464910625
46,2023-05-02,F,1,eat_Arthropoda,0.0552627426207693
47,2023-05-02,F,1,eat_Tracheophyta,0.0470408137122391
48,2023-05-02,F,1,parasite_Arthropoda,0.22727352603564
49,2023-05-02,F,1,parasite_Tracheophyta,0.0474478621252162
50,2023-05-02,F,1,visit_Tracheophyta,0.0349180442636519
51,2023-05-02,F,2,eat_Arthropoda,0.618915456763029
52,2023-05-02,F,2,eat_Tracheophyta,0.101278422846174
53,2023-05-02,F,2,parasite_Arthropoda,0.654700100066855
54,2023-05-02,F,2,parasite_Tracheophyta,0.105883441967111
55,2023-05-02,F,2,visit_Tracheophyta,0.0488308077776566
56,2023-05-02,F,3,eat_Arthropoda,0.435254401547598
57,2023-05-02,F,3,eat_Tracheophyta,0.141957181458161
58,2023-05-02,F,3,parasite_Arthropoda,0.369586117518136
59,2023-05-02,F,3,parasite_Tracheophyta,0.143071066465449
60,2023-05-02,F,3,visit_Tracheophyta,0.149504118840374
