"","id_plot","ab","mass","q0","q1","q2","Body_length"
"1","ARG_1790",4,NA,NA,NA,NA,NA
"2","ARG_2000",2,NA,NA,NA,NA,NA
"3","ARG_2230",3.41666666666667,NA,NA,NA,NA,NA
"4","ARG_2400",8.40697674418605,NA,NA,NA,NA,NA
"5","ARM_1520",3.79411764705882,NA,NA,NA,NA,NA
"6","ARM_1750",6.10989010989011,NA,2.71428571428571,2.71428571428571,2.71428571428571,23.0341117216117
"7","BOU_2000",3.73809523809524,NA,NA,NA,NA,NA
"8","CAU_2225",10,NA,NA,NA,NA,NA
"9","CAU_2445",2,NA,NA,NA,NA,NA
"10","CAU_2650",2.34782608695652,NA,NA,NA,NA,NA
"11","MOU_1810",3.42465753424658,NA,NA,NA,NA,NA
"12","MOU_1940",7.616,NA,NA,NA,NA,NA
"13","MOU_2160",10.780487804878,NA,NA,NA,NA,NA
"14","MOU_2355",3.45,NA,NA,NA,NA,NA
"15","MOU_2470",4.4375,NA,NA,NA,NA,NA
"16","MOU_2720",4.04255319148936,NA,NA,NA,NA,NA
"17","MSB_1420",2.58490566037736,NA,1,1,1,NA
"18","MSB_1890",3,NA,NA,NA,NA,NA
"19","MSB_2020",2,NA,1,1,1,18
"20","RIS_1900",2,NA,NA,NA,NA,NA
"21","RIS_2195",6.58666666666667,NA,NA,NA,NA,NA
"22","RIS_2340",8.9,NA,NA,NA,NA,NA
"23","RIS_2570",11.1803278688525,NA,1.70491803278689,1.55155599447849,1.51139826422372,15.8285519125683
"24","RIS_2770",3.4,NA,NA,NA,NA,NA
"25","RIS_2890",2,NA,NA,NA,NA,NA
"26","TAN_1890",3,NA,NA,NA,NA,NA
"27","VAL_1860",3.45,NA,1.3,1.26696447245269,1.24,21.15625
"28","VAL_2450",14.1666666666667,NA,3.16666666666667,2.87091453689256,2.64,17.724537037037
"29","VAL_2715",6,NA,2.5,2.1354915763973,1.9,19.9833333333333
"30","VCHA_1910",3.125,NA,NA,NA,NA,NA
"31","VCHA_2150",5.38028169014085,NA,NA,NA,NA,NA
"32","VCHA_2330",7.59615384615385,NA,1.17307692307692,1.15401796487655,1.13846153846154,21.6730769230769
"33","VCHA_2510",6,NA,NA,NA,NA,NA
"34","VCHA_2760",2,NA,NA,NA,NA,NA
"35","VER_1400P",2,NA,NA,NA,NA,NA
"36","VER_1800",4,NA,2,1.88988157484231,1.8,18
"37","VER_2000",2.85483870967742,NA,NA,NA,NA,NA
"38","VTN_1130",5.45454545454545,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA
